,w_knn,w_rf,w_svm,w_xgboost,f1
337,0.4322836020753892,0.49344980795501514,0.6003858649922592,0.5602669319502991,0.5347090375517572
116,0.5234759308166796,0.716811998746385,0.8997326571394578,0.789030590438909,0.5347090375517572
459,0.4759311742899758,0.7667182918947125,0.7708652252075164,0.7147645927566448,0.5347090375517572
178,0.45230097098807054,0.5784876622331924,0.7913049012540191,0.7771784997143721,0.5347090375517572
188,0.17482221208178406,0.9653016628878832,0.9307224578530219,0.9769696570458324,0.5344480205927702
194,0.1258172556152053,0.3853189062447696,0.4059544591115376,0.42994250460797656,0.5344480205927702
326,0.3904606339331138,0.6884081738237638,0.7493712386022879,0.7708683171543419,0.5344480205927702
497,0.08687842924331235,0.16568203517530278,0.1506292000497409,0.20702948781590602,0.5344480205927702
162,0.4661929432123959,0.5433854887803337,0.7310499953044927,0.7744249228550536,0.5344480205927702
495,0.7048073051171376,0.9378679778251728,0.9310332718986298,0.9502189064952545,0.5344480205927702
209,0.07732663113613558,0.6468771242917137,0.7185535749650911,0.723488868548037,0.5344480205927702
332,0.34606915779586533,0.4495515152255327,0.43701773113164355,0.4853759328856755,0.5344480205927702
53,0.3641362141290423,0.759592338180661,0.8013563247239662,0.9384491652431135,0.5344480205927702
294,0.4256844685489103,0.6783319428686615,0.7781008683608047,0.9150458956860729,0.5344480205927702
362,0.33316709596455774,0.6327989138667266,0.7814667115092091,0.7993273204350303,0.5344480205927702
221,0.43848069787076016,0.8894324964188383,0.8294234097906004,0.962837780857138,0.5344480205927702
233,0.3428695774282746,0.21293236677460503,0.6752694682210705,0.42702091952215815,0.5340778955104126
156,0.37911987182623375,0.22243082108200463,0.6800903587680395,0.3541900613522134,0.5340778955104126
54,0.5318500601600165,0.438515465157328,0.980445726990264,0.49328177073136814,0.5340778955104126
353,0.6518174644202968,0.11949622922579517,0.8753147922033427,0.27306708851189265,0.5340778955104126
104,0.26856881765499463,0.22028825540513475,0.8287318070398514,0.5845500713311748,0.5340778955104126
318,0.1317581851126941,0.8080792375336365,0.778995969618664,0.1626268776351516,0.5335789882805257
37,0.03630895106343901,0.772983990886607,0.7693044879914712,0.6477683062265415,0.5335789882805257
42,0.1671499099430983,0.9749899913919098,0.9307430469705008,0.6869445505920507,0.5335789882805257
115,0.11464491866581439,0.8599975076348733,0.7817067561876985,0.6228267973511665,0.5335789882805257
440,0.024261568892261054,0.8934163567986093,0.8898705052832768,0.2401162332890262,0.5335789882805257
164,0.29105387513194725,0.9077614508688447,0.8514826582550244,0.6059859507206096,0.5335789882805257
