,param_C,param_kernel,param_gamma,param_degree,param_class_weight,param_probability,param_shrinking,param_tol,mean_test_score,std_test_score,rank_test_score
72,2.808060791852389,rbf,auto,12,balanced,True,True,0.0745431606118867,-1.1379586783453857,0.04120571890173842,46
66,2.661628714094614,rbf,auto,6,balanced,True,False,0.122285811931918,-1.1379661753702444,0.042440028678681165,47
199,3.3942172628959257,rbf,auto,1,balanced,True,False,0.06701990266203109,-1.1380030660354212,0.04223257487339346,48
137,3.0537030523458006,rbf,auto,5,balanced,True,False,0.19023890857633807,-1.138007668049207,0.040354978180925316,49
227,2.69950692733832,rbf,auto,4,balanced,True,True,0.10696800463622334,-1.1380121629178725,0.04340564545627917,50
235,3.3306194077877294,rbf,auto,12,balanced,True,False,0.02585944469710895,-1.1380130465880556,0.042867641574620245,51
30,3.348913824266084,rbf,auto,5,balanced,True,False,0.048196983949791154,-1.1380171227083937,0.0436132183416929,52
5,2.6834045098534336,rbf,auto,12,balanced,True,False,0.10595128632644757,-1.138018740030841,0.04127240295675517,53
132,2.9965611906830776,rbf,auto,9,balanced,True,False,0.060527034901862176,-1.1380294145781353,0.04489746318264734,54
103,3.195974206093698,rbf,auto,5,balanced,True,True,0.03565886401416916,-1.1380296828501395,0.04141014341970853,55
1,3.0986584841970366,rbf,auto,7,balanced,True,False,0.03219890406724053,-1.138042648838893,0.040052451015135146,56
240,3.314574720231382,rbf,auto,11,balanced,True,False,0.10561308495382388,-1.1380494823362246,0.04072865889620686,57
84,3.196029796674973,rbf,auto,8,balanced,True,False,0.02043529875415371,-1.1380576271454212,0.04381631912169148,58
169,2.911255116585369,rbf,auto,6,balanced,True,True,0.09707401637327094,-1.1380673985057048,0.040582671345796885,59
79,3.4148643902204485,rbf,auto,3,balanced,True,False,0.0040913233057734855,-1.1381100078767468,0.041613702761053216,60
163,2.5777346369649847,rbf,auto,9,balanced,True,False,0.1982421488959206,-1.1381665260895883,0.04002891424040618,61
26,2.6158690595251297,rbf,auto,7,balanced,True,True,0.1256596253655116,-1.1381711478670016,0.042640580606248805,62
148,2.8779875901222542,rbf,auto,7,balanced,True,True,0.05074483088605759,-1.1381974289426144,0.04184945110153292,63
173,2.5136719648269974,rbf,auto,7,balanced,True,False,0.1393428794337824,-1.1382108810300902,0.040777826854475806,64
112,2.9646738129396115,rbf,auto,5,balanced,True,True,0.010611784839406745,-1.1382518717667123,0.04100433404817284,65
71,2.86646878458286,rbf,auto,8,balanced,True,True,0.14518798485042586,-1.138257125586471,0.041453596279560176,66
0,2.8745401188473627,rbf,auto,13,balanced,True,True,0.147398788362281,-1.1382880619192615,0.04098496082573771,67
133,2.599984887161863,rbf,auto,4,balanced,True,False,0.1927082993766397,-1.1383210409082538,0.04196969134922458,68
175,3.085149532325472,rbf,auto,5,balanced,True,True,0.1524162404084912,-1.1383268459543685,0.042998435787556244,69
38,2.9565345704829102,rbf,auto,12,balanced,True,False,0.08430198957407325,-1.138326951285809,0.041883386458513645,70
