,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_colsample_bytree,param_colsample_bylevel,param_reg_lambda,param_reg_alpha,param_scale_pos_weight,param_gamma,mean_test_score,std_test_score,rank_test_score
79,972,0.00490946439640877,8,11,0.9264494235897112,0.3792285849638004,7.995471309195156,0.7506019247653135,8.251326766927972,7.216065507512772,-0.7648189809616273,0.0409409792936297,45
16,1526,0.0034050732900548384,1,1,0.9766149558326529,0.266781014275285,5.309445833171363,0.6808054515547668,4.477831645730916,4.110470133182313,-0.7652094281862429,0.05109167833034016,46
43,1921,0.07518710677914975,3,9,0.8584127518430118,0.9307573256035647,5.052623724478571,0.9026529066795667,8.264574661077416,4.290040273750183,-0.7652635802023859,0.04580713688586115,47
38,596,0.06168511643899139,16,2,0.5393774484000625,0.5010398839152592,6.364135974460113,0.8672989335550038,8.009492946823997,6.8397376939814105,-0.7653116667643839,0.043318844781307084,48
81,1348,0.04397446753883391,1,17,0.6241015441818376,0.8996674452921731,5.31867479688174,0.3915821102015019,0.6661911239081697,5.39791061914633,-0.7658450872016002,0.03968950087376974,49
3,1397,0.06813075385877798,9,7,0.4667628932479799,0.9832308858067882,9.656420330745593,0.9489855372533332,8.08397348116461,8.599504067363206,-0.7660732036709448,0.04762945334723925,50
60,1177,0.05211635011119935,12,1,0.5203077009037933,0.6715731955927996,0.8841822336564658,0.968073765439823,7.918178394696329,7.723283917356393,-0.7663606068063138,0.04881400898367676,51
42,1671,0.08078347392672641,17,3,0.17743954377972282,0.2820345725713065,7.764229607419968,0.37211808579278316,3.4080354025301784,7.506247516408584,-0.7665385946231703,0.05125228412479403,52
0,1338,0.05996584841970366,7,19,0.9507143064099162,0.3745401188473625,8.661861457749351,0.058183612168199464,6.011150117432088,7.3200394181140505,-0.7672463069454881,0.047418036502742685,53
29,927,0.04207808564462766,18,13,0.5528199769079077,0.7089109969101186,5.015262946871996,0.5114423988609378,7.9829517896677515,2.9652014364779853,-0.7676210589025729,0.04550268033486746,54
13,1508,0.08084401551640626,7,1,0.8925589984899778,0.18657005888603584,4.271177886262563,0.22803516254194167,8.18014765922493,5.393522419156507,-0.7678466659926408,0.047264725065228164,55
46,1338,0.09969312420303292,5,3,0.9309291056872926,0.11346460201744801,7.058414838786945,0.5460157701649889,9.68651943974135,9.742582085344102,-0.7684364664790724,0.04330159812063356,56
53,1067,0.09162543416691064,10,16,0.3842018313792199,0.6969250558638148,1.0676606593588438,0.39462179860812985,3.356600647969632,7.3711070584301925,-0.7685761033945819,0.04389619549826844,57
96,1177,0.04089844953648448,3,8,0.8397888594565706,0.9789314356159612,5.694535177635003,0.33937124589619094,8.87460482513503,8.670037600115235,-0.768692606273431,0.046161610287615805,58
64,860,0.024114561877819306,19,15,0.3287516102875082,0.4926180939928696,5.847761059491536,0.460219158983572,4.003004889102813,6.3341085431672575,-0.7690006667435784,0.0521603768388303,59
45,990,0.009270414725848108,12,20,0.49302565777180496,0.48252094964264247,9.462045428816902,0.21282789502422894,7.812960504712025,0.8329441119525964,-0.7692739206253192,0.043107185957735855,60
78,433,0.08316194077877292,12,18,0.3488682665429953,0.41184091414726853,9.909394764573905,0.9330380670999546,2.0500181005323723,9.295391442478259,-0.7695862736085184,0.04569759845672326,61
6,1872,0.05218342600258237,8,16,0.3265407688058354,0.7272719958564209,8.287475091519294,0.2714490317738959,3.567533266935893,5.704539744053994,-0.7697609920380797,0.04892939279730057,62
32,976,0.06238904758190003,4,6,0.7699935530986108,0.5222432600548044,4.1136390505667855,0.19448003399487301,6.995122107671938,2.1583102749684318,-0.7697940980421627,0.04611395455460267,63
71,1492,0.05878411180208792,8,8,0.08692028808742369,0.4984421989290573,3.7878262595128938,0.5645585425226413,3.374468338719181,5.371165418185478,-0.7705347283144705,0.04335865175242665,64
37,901,0.06168500980522165,5,4,0.43385164923797304,0.17320186991001518,0.15314540290384748,0.26099362334171394,9.33436308079483,3.985147343973735,-0.7705498868079573,0.05085945098962306,65
