,param_n_neighbors,param_weights,param_algorithm,param_leaf_size,param_p,param_metric,mean_test_score,std_test_score,rank_test_score
612,109,uniform,ball_tree,49,23.8570543781461,euclidean,-0.9587041815192382,0.05803242396997729,838
934,112,uniform,brute,176,9.14899543823109,minkowski,-0.9589129965304192,0.05450118912397509,839
656,112,uniform,brute,177,29.089634619074705,manhattan,-0.9589129965304192,0.05450118912397509,839
804,126,distance,kd_tree,33,5.972445308956621,manhattan,-0.9591323427048432,0.05425308084968274,841
1286,127,distance,kd_tree,143,21.092633536547435,manhattan,-0.9593414856283623,0.053312413683593,842
883,127,distance,kd_tree,192,30.60187304502546,manhattan,-0.9593414856283623,0.053312413683593,842
720,111,distance,ball_tree,129,25.326357430237554,minkowski,-0.959388354324884,0.05544038898350572,844
614,127,distance,brute,85,9.107430763923498,manhattan,-0.9594175482657981,0.05384883701739141,845
1390,111,uniform,kd_tree,66,20.38929800972144,minkowski,-0.9598694673372423,0.05649143436960176,846
353,120,distance,auto,165,25.170104588501594,euclidean,-0.9607087868168657,0.053657765970197786,847
782,120,distance,brute,102,30.629787770237552,euclidean,-0.9607087868168657,0.053657765970197786,847
230,128,distance,auto,59,6.463214164647497,manhattan,-0.9608172916083518,0.05368775859243462,849
974,112,uniform,kd_tree,35,19.58030362410734,manhattan,-0.9628845289048782,0.055012726166355524,850
459,114,distance,ball_tree,122,10.666465103338851,minkowski,-0.962952713057924,0.05403842905460719,851
437,116,distance,brute,178,13.143952872555994,minkowski,-0.9633709538282973,0.053439099130096465,852
1183,113,uniform,kd_tree,182,14.325502206350997,euclidean,-0.9642414982719734,0.055370733872180736,853
1010,130,distance,auto,181,19.07409492110365,manhattan,-0.9644005946107768,0.05435990271641705,854
89,130,distance,auto,95,2.1688939693070086,manhattan,-0.9644005946107768,0.05435990271641705,854
478,121,distance,ball_tree,14,21.351364685654254,euclidean,-0.9644063976614013,0.05263644286129633,856
1332,115,uniform,brute,112,8.761328422469035,minkowski,-0.9645018057337728,0.0556933027133459,857
1044,115,uniform,auto,42,15.354732103215674,manhattan,-0.9645018057337728,0.0556933027133459,857
805,115,uniform,brute,122,7.670839142445109,manhattan,-0.9645018057337728,0.0556933027133459,857
1420,115,uniform,brute,193,28.348987411254267,minkowski,-0.9645018057337728,0.0556933027133459,857
349,118,distance,brute,10,6.092737152626222,minkowski,-0.9648231598743033,0.053689251697651305,861
1216,130,distance,ball_tree,64,12.346735457300344,manhattan,-0.9648901791029993,0.05349573258626867,862
590,117,distance,auto,198,28.07359921857525,minkowski,-0.9654799002903947,0.05360262461863403,863
325,123,distance,auto,61,1.9475843447692611,minkowski,-0.9659645670583888,0.05411788093336737,864
770,113,uniform,ball_tree,28,12.568405385969442,euclidean,-0.9661182800860952,0.05805385995295421,865
520,116,uniform,auto,79,27.117352751380206,manhattan,-0.9665214082104422,0.055561885939710724,866
722,116,uniform,brute,34,13.756845563130817,euclidean,-0.9665214082104422,0.055561885939710724,866
713,122,distance,ball_tree,105,29.689602801625828,euclidean,-0.9666808926915452,0.05333758589883633,868
1440,114,uniform,ball_tree,29,22.631639826936155,euclidean,-0.9669248302411331,0.05805792252706688,869
391,118,distance,brute,141,16.455255110011947,minkowski,-0.967153056075414,0.05363904997419122,870
191,123,distance,kd_tree,10,23.639058755803497,euclidean,-0.9673224232321015,0.05456237425639887,871
608,122,distance,kd_tree,170,4.484168806015768,euclidean,-0.9674001442763194,0.052868353229164694,872
1190,113,uniform,kd_tree,72,8.00702083205833,euclidean,-0.9675822910193265,0.055525498958302416,873
554,124,distance,kd_tree,63,25.881839945765407,euclidean,-0.9677677153242614,0.055643092307519126,874
1051,117,uniform,auto,171,16.89141898325103,minkowski,-0.9678085577279326,0.055678852309154786,875
1336,117,uniform,brute,17,29.67529441525491,euclidean,-0.9678085577279326,0.055678852309154786,875
178,117,uniform,auto,178,22.92602425610933,manhattan,-0.9678085577279326,0.055678852309154786,875
74,117,uniform,brute,90,3.42618899851593,euclidean,-0.9678085577279326,0.055678852309154786,875
382,124,distance,auto,47,29.639800900999223,euclidean,-0.9678802232272552,0.054205708238567914,879
574,113,uniform,ball_tree,49,7.572064273055734,manhattan,-0.9682763864842642,0.05762243824234444,880
1255,115,uniform,ball_tree,145,15.468220002446305,minkowski,-0.9686549934110733,0.05504825453773233,881
945,125,distance,brute,192,25.562206884521522,euclidean,-0.9694438168279843,0.05360082222550491,882
157,115,uniform,kd_tree,38,8.27411510904189,minkowski,-0.9695700427793369,0.05677173123409172,883
1317,117,distance,ball_tree,44,10.981884295311373,minkowski,-0.9696045884856707,0.051832879955016516,884
676,134,distance,brute,181,14.06522876416572,manhattan,-0.9696785890983316,0.05479152530352203,885
1265,134,distance,brute,190,17.584446271550473,manhattan,-0.9696785890983316,0.05479152530352203,885
936,116,uniform,ball_tree,116,9.638360280279775,manhattan,-0.969782258189076,0.05434304400027122,887
989,120,distance,brute,17,8.781652022295887,minkowski,-0.9698295464548293,0.053541782815204185,888
363,119,distance,kd_tree,193,29.3384265842207,minkowski,-0.9709194672494708,0.053833677667064525,889
901,127,distance,kd_tree,52,7.615127903069413,euclidean,-0.9716562021425788,0.05608272003231132,890
313,126,distance,ball_tree,199,21.56695861686914,euclidean,-0.9718548919587064,0.05236084962820236,891
442,139,distance,ball_tree,181,14.631320036798826,manhattan,-0.9719985682389553,0.055819893132198935,892
38,139,distance,kd_tree,198,25.492956196581517,manhattan,-0.9720317085196889,0.055103257479342506,893
633,135,distance,ball_tree,71,2.324858085334938,manhattan,-0.9723013926167017,0.05482784119360206,894
880,136,distance,auto,139,7.591203711742012,manhattan,-0.9727719172454374,0.05550634224768163,895
749,119,distance,ball_tree,72,18.15237949431246,minkowski,-0.9737197326969795,0.050545642417211975,896
1194,122,distance,auto,146,9.941986035100125,minkowski,-0.9738914396958721,0.05427114752864333,897
1049,120,uniform,brute,52,3.239152932382864,manhattan,-0.9740537956834057,0.055530056747922114,898
860,120,uniform,brute,55,29.250759599740917,manhattan,-0.9740537956834057,0.055530056747922114,898
390,120,uniform,brute,54,16.79497582461343,euclidean,-0.9740537956834057,0.055530056747922114,898
508,120,uniform,brute,149,8.804733728861535,manhattan,-0.9740537956834057,0.055530056747922114,898
790,121,distance,ball_tree,55,8.807097939556881,minkowski,-0.974374963660815,0.05264357655268977,902
847,125,distance,kd_tree,8,3.0176774190210356,minkowski,-0.9749280323643568,0.053974543442981575,903
1104,119,distance,ball_tree,51,19.36827297081617,minkowski,-0.9754717391510992,0.05263546752456592,904
331,122,distance,ball_tree,45,10.870523134439866,minkowski,-0.9757861414163645,0.051653529097332014,905
979,119,uniform,kd_tree,58,25.148911911977635,manhattan,-0.9758635788959488,0.05607948543718232,906
227,119,uniform,kd_tree,130,9.041909224686288,minkowski,-0.9762255930093134,0.05318141273797647,907
28,129,distance,auto,190,7.8380548762582505,euclidean,-0.9764453432340087,0.05420771958409723,908
1469,130,distance,kd_tree,176,28.5026800935624,euclidean,-0.9764935477990597,0.05296099330519817,909
669,118,uniform,ball_tree,57,24.460460047989017,euclidean,-0.9766288875373581,0.05441245746130402,910
1449,130,distance,ball_tree,30,30.441500027238405,euclidean,-0.9771778761231367,0.053304716428194385,911
1476,120,uniform,kd_tree,131,26.654960349144183,minkowski,-0.9778002496723568,0.05537841281871063,912
465,122,uniform,auto,149,25.47840816905852,minkowski,-0.9778547989553494,0.05639772246083283,913
1172,122,uniform,brute,16,21.206397343941724,manhattan,-0.9778547989553494,0.05639772246083283,913
840,122,uniform,auto,156,9.35372639120719,euclidean,-0.9778547989553494,0.05639772246083283,913
1141,130,distance,auto,183,29.956289156372055,euclidean,-0.9781579321851595,0.05431242088055895,916
888,141,distance,auto,9,11.41187105498185,manhattan,-0.9781767620939181,0.05517990223806191,917
988,124,distance,brute,174,13.783637138566924,minkowski,-0.9783786982437714,0.05405952692679695,918
935,122,distance,kd_tree,158,19.113909757872882,minkowski,-0.9784076296086346,0.05265189422740092,919
589,121,uniform,kd_tree,51,5.629646958492382,manhattan,-0.9789346069701507,0.055384165935286285,920
984,144,distance,kd_tree,187,1.3390760976706741,manhattan,-0.9789499167096715,0.053377974315121396,921
538,131,distance,auto,108,27.39465741855086,euclidean,-0.9791835034907657,0.054329119217598185,922
1095,141,distance,ball_tree,18,3.7342191833403264,manhattan,-0.9795247134257907,0.05664519858543641,923
1459,125,distance,brute,114,10.600483392621753,minkowski,-0.9795393860582402,0.05340057731450191,924
754,123,uniform,auto,19,2.6975696844014685,manhattan,-0.9800237027901559,0.05618526952970207,925
101,123,uniform,brute,140,7.381836850726868,euclidean,-0.9800237027901559,0.05618526952970207,925
493,144,distance,brute,137,7.088091027247065,manhattan,-0.9805392954108608,0.054895663796227366,927
1128,122,uniform,ball_tree,134,3.021306145657772,euclidean,-0.9807152886618209,0.05545020240835102,928
35,126,distance,ball_tree,129,5.346846162736693,minkowski,-0.9808963287461492,0.05270851199786724,929
717,132,distance,auto,133,25.694824921265777,euclidean,-0.9809413529307726,0.05454437050615911,930
103,122,uniform,kd_tree,167,14.245915041201311,manhattan,-0.9812405103155573,0.05484817243893993,931
970,122,uniform,kd_tree,146,16.42286327653779,minkowski,-0.9812405103155573,0.05484817243893993,931
218,124,uniform,brute,110,25.02249314458363,manhattan,-0.9817650144569686,0.056219037921045455,933
1470,146,distance,kd_tree,166,18.58706496342285,manhattan,-0.9818521534905009,0.055230390105358074,934
1411,129,distance,ball_tree,117,3.3223465595425177,minkowski,-0.9822467382460859,0.05383273752834174,935
235,122,uniform,ball_tree,165,22.606077448968872,euclidean,-0.982296073259344,0.053622625432480135,936
973,133,distance,auto,81,26.71574971178766,euclidean,-0.9827850167468443,0.05492669934567945,937
1290,123,uniform,ball_tree,168,7.106046216606892,euclidean,-0.9828307516390249,0.05510172484256046,938
279,123,uniform,ball_tree,184,4.885447638484125,minkowski,-0.9829625169789746,0.054913530139951795,939
803,134,distance,ball_tree,194,24.682965825855735,euclidean,-0.9832025776019518,0.056235136933891434,940
1126,147,distance,ball_tree,129,5.938615397095145,manhattan,-0.9833068274068566,0.05499876148936361,941
1001,126,distance,ball_tree,148,17.054570010410508,minkowski,-0.9834074662534984,0.05188034310147041,942
26,134,distance,ball_tree,62,14.696037114487307,euclidean,-0.9835730925388562,0.05339184054484282,943
844,125,uniform,brute,22,27.375573178037428,manhattan,-0.9835739212661124,0.055645355640873535,944
341,125,uniform,brute,186,7.319865670169998,manhattan,-0.9835739212661124,0.055645355640873535,944
1412,125,uniform,auto,153,25.385529146102733,manhattan,-0.9835739212661124,0.055645355640873535,944
384,125,uniform,brute,34,19.520552722389226,manhattan,-0.9835739212661124,0.055645355640873535,944
372,129,distance,brute,109,4.606271661118253,minkowski,-0.9838184041043002,0.054138867101740575,948
1072,134,distance,brute,90,22.661981926113558,euclidean,-0.9839218879893881,0.054694886098218674,949
1308,126,uniform,brute,130,2.1520263197903367,euclidean,-0.985097155370385,0.055660402973123635,950
286,147,distance,ball_tree,33,27.04482412154641,manhattan,-0.986075978535338,0.05361286295014908,951
828,136,distance,ball_tree,48,13.782129328782911,euclidean,-0.9861689227132103,0.054602775413850925,952
1124,126,uniform,ball_tree,173,18.313512471637196,euclidean,-0.9862627670222356,0.05442933065010114,953
948,149,distance,ball_tree,191,23.35538486108843,manhattan,-0.9866189500650219,0.052405114892347136,954
1038,127,uniform,auto,46,10.808230730100258,minkowski,-0.9870078544218204,0.05615261759135173,955
667,149,distance,brute,28,21.465816418798315,manhattan,-0.9871305068105256,0.055745204086409726,956
1152,126,uniform,kd_tree,127,10.36192133956062,minkowski,-0.987317564594477,0.05612171587142909,957
440,138,distance,kd_tree,79,21.429244817147335,euclidean,-0.9876388734128035,0.054822411996747054,958
329,127,uniform,kd_tree,22,20.30733085589575,manhattan,-0.9876437949362236,0.0559911026760857,959
534,128,uniform,kd_tree,59,1.3782255992727712,minkowski,-0.9877811924550839,0.058188641477899435,960
93,138,distance,ball_tree,21,13.704128269243556,euclidean,-0.9883012293297059,0.05668512581653802,961
1189,128,uniform,auto,42,28.12406057734572,minkowski,-0.988805511403225,0.055929210104097155,962
1069,132,distance,kd_tree,176,7.023129242700358,minkowski,-0.9889669791396469,0.0542602733359849,963
869,128,uniform,ball_tree,40,19.48943476698689,manhattan,-0.989013586821281,0.05475966213712687,964
995,130,distance,ball_tree,70,13.253667442254478,minkowski,-0.9890337513545522,0.05405203510993054,965
811,128,uniform,ball_tree,157,30.413067108111154,minkowski,-0.9892148968235206,0.054469843146879075,966
1203,140,distance,kd_tree,125,24.89321684570432,euclidean,-0.9893070905327022,0.05443324294498625,967
