,param_n_estimators,param_max_features,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_bootstrap,mean_test_score,std_test_score,rank_test_score
113,702,sqrt,16,46,39,True,0.3498524223732765,0.00966824135403736,129
80,14,sqrt,97,45,44,True,0.33947941041164426,0.030503939275048998,130
146,574,sqrt,3,38,23,False,0.32847810272841926,0.008060012070744891,131
25,14,log2,47,2,3,True,0.3262232847519645,0.03313632382590943,132
188,733,log2,26,20,4,False,0.3230212535726153,0.007747905641560025,133
167,248,sqrt,26,23,47,True,0.319518817760699,0.009665213604894484,134
66,190,sqrt,37,47,49,True,0.3188758365128236,0.013872358817204517,135
123,662,log2,39,46,3,True,0.31784290270738125,0.007980625035116365,136
177,118,log2,68,42,3,True,0.3159467209754498,0.01107528893347496,137
108,889,sqrt,30,21,49,True,0.30936652778915946,0.011172314427399478,138
37,519,sqrt,52,13,49,True,0.30902028460538744,0.011380754064092108,139
65,901,log2,93,36,6,False,0.2606403514681216,0.009892975074500222,140
163,14,log2,93,22,19,True,0.24261766953526762,0.018816003577764542,141
91,921,log2,94,13,5,True,0.23391335369926408,0.0015219293699284145,142
171,535,log2,78,27,45,True,0.23241787279557063,0.001703227777663419,143
170,37,log2,56,27,14,True,0.23241787279557063,0.001703227777663419,143
178,945,log2,86,9,47,False,0.23241787279557063,0.001703227777663419,143
179,527,log2,83,38,41,True,0.23241787279557063,0.001703227777663419,143
196,894,log2,69,15,44,True,0.23241787279557063,0.001703227777663419,143
180,750,log2,26,7,45,False,0.23241787279557063,0.001703227777663419,143
158,794,log2,4,11,17,True,0.23241787279557063,0.001703227777663419,143
164,847,log2,92,22,22,False,0.23241787279557063,0.001703227777663419,143
193,328,log2,13,2,20,False,0.23241787279557063,0.001703227777663419,143
169,312,sqrt,1,16,35,False,0.23241787279557063,0.001703227777663419,143
190,520,log2,14,12,37,False,0.23241787279557063,0.001703227777663419,143
182,616,log2,4,31,11,False,0.23241787279557063,0.001703227777663419,143
173,892,log2,18,36,38,True,0.23241787279557063,0.001703227777663419,143
160,761,log2,77,44,43,False,0.23241787279557063,0.001703227777663419,143
166,932,log2,49,46,26,False,0.23241787279557063,0.001703227777663419,143
99,294,log2,33,45,43,True,0.23241787279557063,0.001703227777663419,143
155,807,log2,98,19,34,False,0.23241787279557063,0.001703227777663419,143
68,744,log2,67,43,25,True,0.23241787279557063,0.001703227777663419,143
61,292,log2,38,9,45,False,0.23241787279557063,0.001703227777663419,143
57,966,log2,82,17,35,False,0.23241787279557063,0.001703227777663419,143
55,263,log2,72,21,40,True,0.23241787279557063,0.001703227777663419,143
54,637,log2,24,25,33,False,0.23241787279557063,0.001703227777663419,143
48,788,log2,39,2,40,False,0.23241787279557063,0.001703227777663419,143
44,520,log2,98,12,22,False,0.23241787279557063,0.001703227777663419,143
32,482,log2,6,29,11,True,0.23241787279557063,0.001703227777663419,143
31,583,log2,86,46,42,True,0.23241787279557063,0.001703227777663419,143
27,752,log2,90,33,13,True,0.23241787279557063,0.001703227777663419,143
24,970,log2,44,36,27,True,0.23241787279557063,0.001703227777663419,143
16,734,log2,15,41,23,False,0.23241787279557063,0.001703227777663419,143
15,872,log2,74,15,36,False,0.23241787279557063,0.001703227777663419,143
13,781,log2,4,43,6,False,0.23241787279557063,0.001703227777663419,143
10,574,log2,60,27,9,True,0.23241787279557063,0.001703227777663419,143
7,576,log2,15,45,47,False,0.23241787279557063,0.001703227777663419,143
4,469,log2,38,34,21,False,0.23241787279557063,0.001703227777663419,143
75,981,log2,65,15,16,False,0.23241787279557063,0.001703227777663419,143
79,453,log2,42,44,15,False,0.23241787279557063,0.001703227777663419,143
81,893,log2,68,33,45,True,0.23241787279557063,0.001703227777663419,143
84,126,log2,55,27,37,False,0.23241787279557063,0.001703227777663419,143
152,633,log2,5,18,30,False,0.23241787279557063,0.001703227777663419,143
147,94,log2,74,18,19,True,0.23241787279557063,0.001703227777663419,143
140,128,log2,30,6,45,False,0.23241787279557063,0.001703227777663419,143
135,878,log2,58,29,28,False,0.23241787279557063,0.001703227777663419,143
134,99,log2,8,37,28,True,0.23241787279557063,0.001703227777663419,143
133,677,log2,72,25,12,False,0.23241787279557063,0.001703227777663419,143
130,314,log2,57,42,47,False,0.23241787279557063,0.001703227777663419,143
127,681,log2,6,46,44,True,0.23241787279557063,0.001703227777663419,143
157,142,log2,79,18,42,False,0.23241787279557063,0.001703227777663419,143
124,465,log2,92,29,20,False,0.23241787279557063,0.001703227777663419,143
117,179,log2,7,41,13,True,0.23241787279557063,0.001703227777663419,143
103,422,log2,7,12,45,True,0.23241787279557063,0.001703227777663419,143
102,124,log2,26,35,26,True,0.23241787279557063,0.001703227777663419,143
198,788,log2,40,9,29,True,0.23241787279557063,0.001703227777663419,143
97,938,log2,91,34,35,False,0.23241787279557063,0.001703227777663419,143
95,25,sqrt,1,5,45,False,0.23241787279557063,0.001703227777663419,143
90,56,log2,29,6,28,True,0.23241787279557063,0.001703227777663419,143
89,95,log2,67,38,16,True,0.23241787279557063,0.001703227777663419,143
121,454,log2,36,20,31,False,0.23241787279557063,0.001703227777663419,143
199,174,log2,14,22,35,True,0.23241787279557063,0.001703227777663419,143
