Feature,Importance
Destination_Rome-Ciampino,0.0
Destination_Rriga,0.0
Destination_Rzeszow,0.0
"Destination_Rzeszow, Jasionka",0.0
Destination_Rīga,0.0
Destination_SDR,0.0
Destination_SKG,0.0
Destination_SNN,0.0
Destination_STN,0.0
Destination_SVQ,0.0
Destination_SXF,0.0
Destination_Santander,0.0
Destination_Santiago,0.0
Destination_Santiago de Compustelo,0.0
Destination_Santorini,0.0
Destination_Sarajevo via Cologne,0.0
Destination_Sevilla,0.0
Destination_Seville,0.0
Destination_Rome Ciampino,0.0
Destination_Rome,0.0
Destination_Rodez,0.0
Destination_Porto,0.0
Destination_Paris,0.0
Destination_Paris Beauvais,0.0
Destination_Perugia,0.0
Destination_Pescara,0.0
Destination_Pisa,0.0
Destination_Podgorica,0.0
Destination_Poitiers,0.0
Destination_Ponta Delgada,0.0
Destination_Poznan,0.0
Destination_Rimini,0.0
Destination_Prague,0.0
Destination_Prague via Stansted,0.0
Destination_Prestwick,0.0
Destination_RHO,0.0
Destination_Rabat,0.0
Destination_Rhodes,0.0
Destination_Rhodos,0.0
Destination_Riga,0.0
Destination_Shannon,0.0
Destination_Sofia,0.0
Destination_Verona,0.0
Destination_Sophia,0.0
Destination_Tenerife South,0.0
Destination_Tenerife south,0.0
Destination_Thessaloniki,0.0
Destination_Timisoara,0.0
Destination_Tirana,0.0
Destination_Tirana via Stansted London,0.0
Destination_Torp,0.0
Destination_Toulouse,0.0
Destination_Toulouse via London Stansted,0.0
Destination_Treviso,0.0
Destination_Trieste,0.0
Destination_Turin,0.0
Destination_VNO,0.0
Destination_VRN,0.0
Destination_Valencia,0.0
Destination_Valletta,0.0
Destination_Vasteras,0.0
Destination_Venice,0.0
Destination_Venice Treviso,0.0
Destination_Tenerife,0.0
Destination_Tel Aviv,0.0
Destination_Tarbes,0.0
Destination_Budapest via Stansted,0.0
Destination_Southend,0.0
Destination_Split,0.0
Destination_Stanford,0.0
Destination_Stanstead,0.0
Destination_Stansted (London),0.0
Destination_Stansted via Aalborg,0.0
Destination_Stockholm,0.0
Destination_Stockholm Arlanda,0.0
Destination_Stockholm-Skavsta,0.0
Destination_Tangier,0.0
Destination_Stuttgart,0.0
Destination_TFS,0.0
Destination_TLL,0.0
Destination_TNG,0.0
Destination_TSF,0.0
Destination_Tallinn,0.0
Destination_Tampere,0.0
Destination_Tanger,0.0
Destination_Bydgoszcz,0.0
Passenger Country_Albania,0.0
Destination_Budapest,0.0
Origin_BTS,0.0
Origin_BVA,0.0
Origin_Barcelona,0.0
Origin_Bari,0.0
Origin_Bati,0.0
Origin_Beauvais,0.0
"Origin_Beauvais, France",0.0
Origin_Belfast,0.0
Origin_Bergamo,0.0
Origin_Bergerac,0.0
Origin_Berlin,0.0
Origin_Berlin TXL,0.0
Origin_Bezier,0.0
"Origin_Beziers, France",0.0
Origin_Biarritz,0.0
Origin_Billund,0.0
Origin_Birmingham,0.0
Origin_Bodrum,0.0
Origin_Bologna,0.0
Origin_Bordeaux,0.0
Origin_Boston,0.0
Origin_Bournemouth,0.0
Origin_Bratislava,0.0
Origin_Bremen,0.0
Origin_Brindisi,0.0
Origin_Bristol,0.0
Origin_BUD,0.0
Origin_BSL,0.0
Origin_Genoa,0.0
Origin_BRU,0.0
Seat Type_First Class,0.0
Seat Type_Premium Economy,0.0
Origin_AC,0.0
Origin_ACE,0.0
