Date Published,Passenger Country,Trip_verified,Aircraft,Type Of Traveller,Seat Type,Origin,Destination,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Inflight Entertainment,Wifi & Connectivity,ryanair_review,exclamation_marks,question_marks,comment_length,never,again,online,delayed,cheap,legroom,Sentiment,Year Published,Month Published,Day Published,Year Flown,Month Flown,Day Flown
2019-08-26,United Kingdom,Trip Verified,Missing,Couple Leisure,Economy Class,Barcelona,Liverpool,1.0,1.0,-1.0,3.0,1.0,no,-1.0,-1.0,False,0.7652567064505633,-0.2682527408267359,-0.21060876883424162,True,True,False,False,False,False,-1,2019,8,26,2019.0,8.0,1.0
2018-03-21,Slovakia,Trip Verified,Missing,Solo Leisure,Economy Class,Bratislava,Bologna,1.0,,-1.0,,5.0,yes,-1.0,-1.0,False,0.7652567064505633,-0.2682527408267359,-0.780498957745146,False,False,False,False,False,False,1,2018,3,21,2018.0,3.0,1.0
2014-04-21,United Kingdom,Missing,Missing,,Economy Class,,,5.0,5.0,0.0,,5.0,yes,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,-0.8897636180250562,False,False,False,False,False,False,0,2014,4,21,,,
2017-07-31,United Kingdom,Verified Review,Missing,Couple Leisure,Economy Class,Timisoara,London,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0,False,3.1756879305423493,-0.2682527408267359,-0.8062082895757131,False,False,False,False,False,False,-1,2017,7,31,2017.0,7.0,1.0
2021-09-10,United States,Trip Verified,Missing,Couple Leisure,Economy Class,Vienna,Dubrovnik,2.0,3.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,0.8391889475805823,True,True,True,False,False,False,-1,2021,9,10,2021.0,9.0,1.0
2016-10-24,United Kingdom,Verified Review,Boeing 737-800,Couple Leisure,Economy Class,London,Faro,4.0,5.0,-1.0,5.0,5.0,yes,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.2084663245150277,False,True,False,False,False,False,0,2016,10,24,2016.0,10.0,1.0
2016-12-21,United Kingdom,Verified Review,Missing,Solo Leisure,Economy Class,Dublin,London,4.0,4.0,-1.0,5.0,5.0,yes,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.4698445314591267,False,False,False,False,False,False,1,2016,12,21,2016.0,12.0,1.0
2018-04-22,United Kingdom,Trip Verified,Missing,Couple Leisure,Economy Class,Leeds,Corfu,1.0,3.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,0.7652567064505633,1.7457718053803446,-0.09920166423511745,False,True,True,False,False,False,-1,2018,4,22,2018.0,4.0,1.0
2019-11-22,Singapore,Trip Verified,Missing,Couple Leisure,Economy Class,Lisbon,Milan,2.0,3.0,-1.0,1.0,2.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,0.732066731619886,False,False,True,False,False,False,-1,2019,11,22,2019.0,11.0,1.0
2019-08-30,India,Trip Verified,Missing,Couple Leisure,Economy Class,Athens,Sofia,1.0,1.0,-1.0,2.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,0.04862699379064346,False,True,True,False,False,False,-1,2019,8,30,2019.0,7.0,1.0
2014-06-10,United Kingdom,Missing,Missing,,Economy Class,,,4.0,4.0,0.0,,4.0,yes,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,-0.44627764394777353,False,True,False,False,False,False,0,2014,6,10,,,
2014-04-24,United Kingdom,Missing,Missing,,Economy Class,,,2.0,4.0,3.0,,4.0,yes,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,-0.5426876383124002,False,False,False,False,False,False,0,2014,4,24,,,
2019-01-19,Finland,Trip Verified,Missing,Couple Leisure,Economy Class,Malaga,London,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0,False,-0.43995890559532946,-0.2682527408267359,-1.0247376101355337,True,True,False,False,False,False,-1,2019,1,19,2019.0,1.0,1.0
2021-11-05,Germany,Trip Verified,Missing,Solo Leisure,Economy Class,Frankfurt,Barcelona,3.0,2.0,-1.0,2.0,2.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.8554845089176334,False,False,False,True,False,False,-1,2021,11,5,2021.0,11.0,1.0
2019-03-24,India,Trip Verified,Missing,Solo Leisure,Economy Class,Prague,Madrid,1.0,,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-1.0611591635621704,False,False,False,False,False,False,-1,2019,3,24,2019.0,3.0,1.0
2022-08-12,United States,Trip Verified,Missing,Family Leisure,Economy Class,Riga,Berlin,1.0,1.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,0.25644409275439434,False,False,False,False,False,False,-1,2022,8,12,2022.0,7.0,1.0
2018-12-22,United Kingdom,Not Verified,Boeing 737-800,Family Leisure,Economy Class,Bucharest,Paphos,2.0,2.0,2.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.924042727132479,False,False,False,False,True,False,-1,2018,12,22,2018.0,12.0,1.0
