,param_C,param_kernel,param_gamma,param_degree,param_epsilon,mean_test_score,std_test_score,rank_test_score
378,4.95773874735414,rbf,auto,4,0.003596229525921228,-0.806044963975306,0.0488126383810318,107
300,4.940908918633893,rbf,auto,2,0.003813293428703453,-0.8060451813183324,0.048809322646511326,108
439,4.908875332706648,rbf,auto,2,0.004311638086327253,-0.8060453272270651,0.04880203220557155,109
16,4.924407646968956,rbf,auto,29,0.004166974558680822,-0.8060463821561423,0.04880318750674994,110
65,4.964156012994348,rbf,auto,6,0.0034800640339544093,-0.8060469317694743,0.04880917417172206,111
420,4.908418637927273,rbf,auto,1,0.004552695510287672,-0.8060471182114272,0.04879831078785013,112
155,5.035968955980049,rbf,auto,23,0.003773714370423412,-0.806047183047283,0.04878939988448898,113
168,4.928598336410568,rbf,auto,10,0.00418581937118687,-0.8060475392245369,0.04880212548254111,114
461,4.925689743618639,rbf,auto,19,0.0038061395125101403,-0.8060475480067459,0.04881111920959188,115
166,5.009905776464747,rbf,auto,5,0.0036861777839550447,-0.8060475766941618,0.048796355527276625,116
385,4.968876746408847,rbf,auto,8,0.003641943781018017,-0.8060477678567102,0.048810970255049387,117
407,4.913071268159789,rbf,auto,15,0.004020884897004489,-0.8060478574947639,0.04880399650945579,118
115,4.9653302483592086,rbf,auto,8,0.003850967765493054,-0.8060481229396304,0.04880879564851526,119
77,5.071264858375619,rbf,auto,22,0.0039003777292881195,-0.8060481586599207,0.04876653047547087,120
340,4.920596295866264,rbf,auto,8,0.004309928105067587,-0.806048574934545,0.04880551209307858,121
173,5.072627704397801,rbf,auto,22,0.004064997836287513,-0.8060488476908223,0.04876315341109244,122
51,5.0068178838750885,rbf,auto,5,0.003463180164451352,-0.806049073708204,0.04880453188398019,123
393,5.046444977281912,rbf,auto,21,0.0037961792276942495,-0.8060493251750513,0.04878581179528983,124
452,5.036028154352061,rbf,auto,27,0.0037645831977882066,-0.8060499630683088,0.04878955852384134,125
343,5.095786287123192,rbf,auto,18,0.004335968800057618,-0.8060501448328223,0.04874685825660537,126
433,4.9520466735903055,rbf,auto,3,0.003792192378520457,-0.8060501632602405,0.048809501875694834,127
316,5.047288847124945,rbf,auto,8,0.004203198159902115,-0.8060502156094772,0.048775202666147155,128
227,4.991827151247652,rbf,auto,2,0.0031050284221104565,-0.8060509903695143,0.04881690682656236,129
401,5.094211649033074,rbf,auto,23,0.003977709189795487,-0.8060510619817368,0.048752860896294554,130
160,4.963862727518084,rbf,auto,14,0.0033848495221215167,-0.8060511254555782,0.04880536874609132,131
442,4.974537703402463,rbf,auto,8,0.003479571464248751,-0.8060514840260129,0.0488131138171209,132
70,4.927504188829199,rbf,auto,28,0.0036770805962038607,-0.8060517921971743,0.04880417328568396,133
285,5.0590534623719785,rbf,auto,14,0.0039986856545975785,-0.8060520589053132,0.04876922545904932,134
363,4.95373547187699,rbf,auto,8,0.0034952292658045224,-0.8060525892569341,0.04881358806277463,135
451,4.966801775749048,rbf,auto,13,0.0034883573083464184,-0.8060525951897224,0.04881974959917409,136
176,5.055429383185488,rbf,auto,22,0.0035264218214832994,-0.806052869090415,0.04878374323061842,137
118,5.039902442153439,rbf,auto,8,0.003631456668613308,-0.8060532464797507,0.0487940854399776,138
