,param_alpha,param_fit_prior,mean_test_score,std_test_score,rank_test_score
907,2.395341817351698,True,-1.3909011710759818,0.1628401736365256,164
24,2.395456069984217,True,-1.3909011710761017,0.16283872852173897,165
180,2.39534106635105,True,-1.3909011710776629,0.1628401831356105,166
394,2.395340803540253,True,-1.390901171078253,0.1628401864598095,167
1036,2.395339874963768,True,-1.3909011710801527,0.16284019820503648,168
362,2.3954582528904917,True,-1.3909011710810417,0.16283870091183775,169
1308,2.3953394501925427,True,-1.3909011710810857,0.16284020357776235,170
194,2.3953390297910486,True,-1.3909011710822212,0.16284020889527662,171
580,2.3954591357562385,True,-1.3909011710829788,0.16283868974513607,172
281,2.3953379951568516,True,-1.3909011710844694,0.16284022198198952,173
133,2.3953376151714036,True,-1.3909011710854369,0.1628402267882566,174
605,2.3954607787680327,True,-1.3909011710867902,0.1628386689640084,175
1394,2.395337003176431,True,-1.3909011710868644,0.16284023452914126,176
1325,2.3953368957917713,True,-1.3909011710869605,0.16284023588739957,177
702,2.395336604278194,True,-1.390901171087764,0.16284023957464921,178
788,2.395462005803644,True,-1.3909011710895935,0.16283865344420498,179
626,2.3954625347161334,True,-1.3909011710907002,0.16283864675436044,180
1341,2.3954626229567393,True,-1.3909011710909431,0.16283864563825265,181
740,2.3954626797856697,True,-1.3909011710910304,0.16283864491952638,182
819,2.395335197241646,True,-1.3909011710910835,0.16284025737173036,183
1162,2.395335118854259,True,-1.3909011710911503,0.1628402583631955,184
753,2.395334905614657,True,-1.3909011710916208,0.16284026106042185,185
1497,2.3954634940438004,True,-1.3909011710931256,0.16283863462059375,186
980,2.395334243890817,True,-1.390901171093313,0.16284026943030927,187
494,2.39546369840494,True,-1.3909011710935453,0.16283863203579962,188
822,2.395333499171691,True,-1.3909011710950132,0.1628402788500148,189
286,2.3954655980181325,True,-1.3909011710983445,0.1628386080090938,190
82,2.3953308980248527,True,-1.3909011711016643,0.16284031175093874,191
1085,2.39546740151125,True,-1.390901171102866,0.16283858519816166,192
525,2.395468693159795,True,-1.3909011711061132,0.16283856886119458,193
457,2.395468660641994,True,-1.3909011711061705,0.16283856927245854,194
583,2.3953287516102875,True,-1.3909011711070514,0.1628403389001855,195
417,2.39532866454537,True,-1.3909011711072925,0.16284034000140593,196
643,2.395327497352178,True,-1.3909011711104593,0.162840354764875,197
1474,2.3953270331615633,True,-1.3909011711116706,0.16284036063622898,198
1284,2.395326461308244,True,-1.3909011711133483,0.1628403678693776,199
712,2.3954715761885503,True,-1.3909011711139518,0.16283853239609827,200
857,2.39547206694511,True,-1.3909011711152481,0.16283852618894448,201
89,2.395472214925162,True,-1.3909011711155543,0.1628385243172104,202
216,2.395325399698159,True,-1.3909011711162473,0.16284038129729814,203
59,2.3953253303307633,True,-1.390901171116469,0.16284038217474078,204
85,2.3953251833220266,True,-1.3909011711166872,0.16284038403418,205
1385,2.3953251900642245,True,-1.3909011711168484,0.16284038394890807,206
1484,2.3953245858299,True,-1.3909011711183819,0.1628403915916826,207
1237,2.3954732099066915,True,-1.3909011711184347,0.1628385117325266,208
341,2.3954734717707806,True,-1.3909011711190913,0.16283850842041686,209
595,2.395473961640263,True,-1.3909011711205541,0.16283850222443882,210
690,2.3953236792364043,True,-1.3909011711208752,0.16284040305888997,211
