,param_alpha_1,param_alpha_2,param_lambda_1,param_lambda_2,param_tol,mean_test_score,std_test_score,rank_test_score
2765,4.830857254319558,9.809191503149757,2.9647679754383223,0.34742245922326936,0.0002443667634107301,-0.742219358365276,0.055283361167379565,1031
3440,11.33203535080979,14.479358475470336,16.740656466107357,3.8149139324222734,5.91044445244318e-05,-0.7422194108502521,0.055233827119995374,1032
115,18.990413473152845,2.941470618580759,37.063506006459775,4.921163930795382,0.00013912219414947917,-0.7422194497205188,0.055361231721406105,1033
576,6.631294981343875,17.100605032398704,8.283033368434209,0.7115838517343281,4.450379630640815e-05,-0.742219475781744,0.05534760903736325,1034
2087,7.263784921816984,5.743046268752574,20.029397245767935,4.559462857686613,0.00018221402310859413,-0.7422194778648195,0.05522969978244779,1035
2812,15.409788170025925,19.31900510225147,20.573060156394355,4.736912322907005,0.00038772690466262896,-0.7422195190042936,0.055229595457124386,1036
4252,2.486093736298369,7.454535096681886,37.27940171489898,8.768731434938225,0.0002071355173921403,-0.7422195265124174,0.05521901346919115,1037
847,6.315464024989921,1.137628955552931,30.661093648865087,7.021075541137926,0.00017567610936815854,-0.7422195585710132,0.05522195054434392,1038
1493,7.67069124867954,16.732405207353164,26.031533833876075,6.141689503188927,0.0001770715111919311,-0.7422195775044504,0.05522468509647148,1039
4213,11.603756266090647,12.72870789146961,14.072717616805642,3.1583159515305708,0.0003158089413770816,-0.7422195790435036,0.05523720409216459,1040
2498,16.08792993830404,4.141697497754208,13.436554804267582,1.3423851909374356,4.708631514246119e-05,-0.7422197770822565,0.0553517323810466,1041
1108,2.1342373820470857,12.991121135139235,34.719984675803595,8.281859693234528,0.00032302735449040067,-0.7422197969370989,0.055219660473474805,1042
2683,9.188775932367571,1.553318235567071,38.38907452155845,8.7899240775865,0.00038734126043407066,-0.7422198088107528,0.05521831327286647,1043
492,19.876968777993966,17.60629624297854,24.936239326377606,5.693774611822827,0.00032033023991229204,-0.7422198247219065,0.055225578884346975,1044
4665,3.813372620423465,16.35398723695212,26.404684845006162,6.309912542136424,0.00021910139217136204,-0.7422198519069707,0.05522382402791688,1045
619,13.449210960500576,19.54014008877887,4.075725034917472,0.08320042227192012,0.00022679139631630717,-0.7422199492116928,0.055333613885404455,1046
1158,5.303415823667112,13.257196752693313,38.61794638402485,9.158144481907438,0.00026143776003279245,-0.7422199550049975,0.055218025867894066,1047
464,18.1522210511311,14.280653889337128,24.316209563628153,3.093728178627821,0.00042189519211064736,-0.7422199560806106,0.055357796230203586,1048
1802,5.733212625740459,7.339157636339905,3.3559194251563724,0.5227647227220572,0.00013672856483650813,-0.74222000509709,0.0552715616891846,1049
4201,11.030685992927213,18.941767495053902,2.990314868871213,0.43084316156864305,8.827533746392785e-05,-0.7422200124111691,0.05527720240524373,1050
2321,15.77372958462848,7.0288344694136695,6.684004510625356,0.3339330486585739,0.00020285835638051002,-0.7422200489882304,0.05534525287379632,1051
2278,0.219274062630867,3.3958537910189475,26.101076110016756,6.120794182038592,0.000403932359792772,-0.7422200591525346,0.055223424270384666,1052
