,param_alpha,param_fit_prior,mean_test_score,std_test_score,rank_test_score
352,0.056375496650927115,True,0.5093756859646301,0.014732014120272812,770
795,0.05792046055879829,True,0.5093756859646301,0.014732014120272812,770
1015,0.19455832318530097,True,0.5091901190445881,0.01264014018312573,778
78,0.18657005888603584,True,0.5091673727590589,0.014095314462762026,779
1395,0.18672329577304148,True,0.5091673727590589,0.014095314462762026,779
694,0.7907231648389635,False,0.5091528428512693,0.013618456029504606,781
1306,0.785651618080232,False,0.5091528428512693,0.013618456029504606,781
665,0.7900135587918561,False,0.5091528428512693,0.013618456029504606,781
720,0.786345014415552,False,0.5091528428512693,0.013618456029504606,781
432,0.7891712386073383,False,0.5091528428512693,0.013618456029504606,781
1270,0.2024805601652374,True,0.5090246729033947,0.01310837893353289,786
1290,0.8049889996807698,False,0.5089889762899735,0.013752848574394443,787
412,0.8062012797930613,False,0.5089889762899735,0.013752848574394443,787
1077,0.05233887578650831,True,0.5087380446052366,0.016271687337835926,789
1241,0.053858206998026126,True,0.5087380446052366,0.016271687337835926,789
868,0.05197128365147241,True,0.5087380446052366,0.016271687337835926,789
1286,0.06485359448296835,True,0.5087092404479723,0.01641634905544702,792
1170,0.8015371118829896,False,0.5085858399121388,0.014110450851970163,793
313,0.8021092490267341,False,0.5085858399121388,0.014110450851970163,793
702,0.7987832357736654,False,0.5085858399121388,0.014110450851970163,793
1467,0.8023543291592642,False,0.5085858399121388,0.014110450851970163,793
184,0.7982951789667752,False,0.5085858399121388,0.014110450851970163,793
516,0.7972953657795536,False,0.5085858399121388,0.014110450851970163,793
683,0.7953418379590974,False,0.5085858399121388,0.014110450851970163,793
280,0.7915790437258485,False,0.5085858399121388,0.014110450851970163,793
1089,0.4748865435062186,True,0.5085680532476691,0.012737955061261163,801
1084,0.20093368865905648,True,0.5085411776772649,0.012734191727238222,802
1301,0.06254222689736844,True,0.5084795212840896,0.016261218254350746,803
200,0.0516817211686077,True,0.5082740333643861,0.016081106120829716,804
1275,0.12471405691139048,False,0.5081239979624208,0.0202782743350995,805
539,0.1228107818457338,False,0.5081239979624208,0.0202782743350995,805
601,0.1227768896627085,False,0.5081239979624208,0.0202782743350995,805
461,0.19950692733831976,True,0.508074850139127,0.013349664566632934,808
681,0.19259902778563043,True,0.508023532085605,0.011699172442242606,809
1150,0.06229179813006269,True,0.5079194561603082,0.01593227475236596,810
219,0.04771612769164879,True,0.5077927534686314,0.016866632321189318,811
1244,0.04317373579701167,True,0.507666527398051,0.01741492386656018,812
1032,0.043412532854819164,True,0.507666527398051,0.01741492386656018,812
159,0.04360377175443375,True,0.507666527398051,0.01741492386656018,812
747,0.04437666353323677,True,0.507666527398051,0.01741492386656018,812
433,0.4795821017542502,True,0.5076339711681241,0.013266724076022762,816
796,0.04574203381251285,True,0.5075704571671845,0.016762112057272457,817
324,0.04544638034145787,True,0.5075468085185358,0.016742381530895845,818
49,0.19884240408880516,True,0.5074763937538314,0.012840275370837855,819
387,0.04586126640463295,True,0.5074633391170285,0.016652679342745114,820
834,0.4815223515125501,True,0.5074367886155984,0.013183200452351199,821
853,0.48235638155159155,True,0.507269558329732,0.013325069900521281,822
1143,0.4846015870188647,True,0.507269558329732,0.013325069900521281,822
169,0.4852798742763157,True,0.507269558329732,0.013325069900521281,822
1322,0.4829688720853552,True,0.507269558329732,0.013325069900521281,822
517,0.4863574819956078,True,0.507269558329732,0.013325069900521281,822
614,0.48743119824951364,True,0.507269558329732,0.013325069900521281,822
275,0.48252094964264247,True,0.507269558329732,0.013325069900521281,822
1221,0.4860155029775399,True,0.507269558329732,0.013325069900521281,822
1289,0.4865976622437531,True,0.507269558329732,0.013325069900521281,822
1016,0.48587175918632564,True,0.507269558329732,0.013325069900521281,822
638,0.046965966775055046,True,0.506999327876178,0.016423556725136536,832
102,0.489452760277563,True,0.506938609558976,0.013569051107949388,833
948,0.0415728590503921,True,0.5069243977085528,0.01653974037805372,834
729,0.12033876203499594,False,0.5069132143757935,0.01953084207637457,835
221,0.12016464780564218,False,0.5069132143757935,0.01953084207637457,835
112,0.040775141554763916,True,0.5067535173761839,0.01677313943779837,837
